Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",128.500000,-61.500000,-90.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",147.000000,-60.500000,-90.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",148.000000,-109.562500,90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",122.500000,-110.000000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",131.000000,-103.062500,-90.000000,top
"D1","LED","LED_D5.0mm",183.000000,-71.000000,-90.000000,top
"D2","LED","LED_D5.0mm",175.750000,-70.975000,-90.000000,top
"D3","LED","LED_D5.0mm",167.750000,-70.725000,-90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",129.650000,-54.500000,0.000000,top
"D5","LED","LED_D5.0mm",159.000000,-71.000000,-90.000000,top
"J1","~","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",121.500000,-80.500000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",147.000000,-70.000000,-90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",183.000000,-65.080000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",175.000000,-65.080000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",168.000000,-65.080000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",161.000000,-65.160000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",190.950000,-96.000000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",190.950000,-99.500000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.950000,-109.500000,90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.000000,-103.000000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",161.200000,-109.500000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",165.500000,-109.500000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",170.000000,-109.450000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",174.000000,-109.450000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",152.500000,-109.500000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.000000,-107.000000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.000000,-81.500000,180.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.000000,-92.000000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.050000,-85.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",191.000000,-88.500000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",114.000000,-98.000000,90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",114.250000,-104.750000,90.000000,top
"SW1","~","SW_PUSH_6mm_H4.3mm",157.250000,-117.750000,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",133.000000,-94.000000,90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",118.190000,-97.690000,0.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",146.190000,-81.610000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",162.000000,-81.800000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",176.690000,-81.610000,0.000000,top
"U5","HDSP-7401","HDSP-7401",199.782500,-88.982500,0.000000,top
"U6","~","SOT-23-6",139.387500,-92.450000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",134.195000,-62.190000,0.000000,top
